predicted_Sale,Qty,Category,Product,Country
515.39932310859626,3,Shoes,Adidas Shoes,India
15050.988614766609,5,Water bottles,Bottle1,Japan
17301.71376629161,14,Water bottles,Bottle1,Japan
17551.794338683278,15,Water bottles,Bottle1,Japan
2647.7843641038853,18,Water bottles,Bottle1,HongKong
397.05921257888383,9,Water bottles,Bottle1,HongKong
647.13978497055075,10,Water bottles,Bottle1,HongKong
-1103.4242217711176,3,Water bottles,Bottle1,HongKong
-1045.5312290666761,8,Water bottles,Bottle1,Oman
1205.1939224583252,17,Water bottles,Bottle1,Oman
2870.1759030722942,17,Water bottles,Bottle1,Norway
119.28960676395934,6,Water bottles,Bottle1,Norway
238.48136951889012,11,Water bottles,Bottle1,Germany
-1762.1632096144449,3,Water bottles,Bottle1,Germany
1989.045376260558,18,Water bottles,Bottle1,Germany
738.642514302224,13,Water bottles,Bottle1,Germany
1989.045376260558,18,Water bottles,Bottle1,Germany
-1354.6087303143404,4,Water bottles,Bottle1,Qatar
2146.5192831689951,18,Water bottles,Bottle1,Qatar
2396.599855560662,19,Water bottles,Bottle1,Qatar
13000.905526089462,2,Water bottles,Bottle2,Japan
155.43312334784616,18,Water bottles,Bottle2,Oman
405.51369573951263,19,Water bottles,Bottle2,Oman
655.59426813118,20,Water bottles,Bottle2,Oman
-2430.9546266965212,1,Water bottles,Bottle2,Norway
570.012242003481,13,Water bottles,Bottle2,Norway
-180.22947517151954,10,Water bottles,Bottle2,Norway
-2561.8434363332572,5,Water bottles,Bottle2,Germany
189.04285997507839,16,Water bottles,Bottle2,Germany
1189.3651495417457,20,Water bottles,Bottle2,Germany
-2061.6822915499238,7,Water bottles,Bottle2,Germany
939.28457715007846,19,Water bottles,Bottle2,Germany
-1404.0472398581528,9,Water bottles,Bottle2,Qatar
16496.710822325826,12,Water bottles,Bottle3,Japan
-407.94373138689923,7,Water bottles,Bottle3,HongKong
400.19097849254297,15,Water bottles,Bottle3,Oman
1650.593840450877,20,Water bottles,Bottle3,Oman
-1185.8744819851577,2,Water bottles,Bottle3,Norway
814.77009714817757,10,Water bottles,Bottle3,Norway
314.60895236484373,8,Water bottles,Bottle3,Norway
3315.5758210648464,20,Water bottles,Bottle3,Norway
1934.2841494697759,19,Water bottles,Bottle3,Germany
-566.52157444689271,9,Water bottles,Bottle3,Germany
-1816.924436405227,4,Water bottles,Bottle3,Germany
1434.1230046864421,17,Water bottles,Bottle3,Germany
1591.5969115948792,17,Water bottles,Bottle3,Qatar
-1409.3699571051229,5,Water bottles,Bottle3,Qatar
15604.311579639592,10,Water bottles,Bottle4,Japan
13853.747572897924,3,Water bottles,Bottle4,Japan
14603.989290072925,6,Water bottles,Bottle4,Japan
14603.989290072925,6,Water bottles,Bottle4,Japan
-49.940112114800968,10,Water bottles,Bottle4,HongKong
-1300.3429740731353,5,Water bottles,Bottle4,HongKong
950.38217745186637,14,Water bottles,Bottle4,HongKong
700.30160506019945,13,Water bottles,Bottle4,HongKong
-1550.4235464648023,4,Water bottles,Bottle4,HongKong
1450.5433222352003,16,Water bottles,Bottle4,HongKong
-1242.4499813686939,10,Water bottles,Bottle4,Oman
-992.36940897702732,11,Water bottles,Bottle4,Oman
758.19459776464066,18,Water bottles,Bottle4,Oman
508.11402537297374,17,Water bottles,Bottle4,Oman
-1242.4499813686939,10,Water bottles,Bottle4,Oman
672.61257163694188,11,Water bottles,Bottle4,Norway
2423.17657837861,18,Water bottles,Bottle4,Norway
2423.17657837861,18,Water bottles,Bottle4,Norway
-1458.9208171331288,7,Water bottles,Bottle4,Germany
-2959.40425148313,1,Water bottles,Bottle4,Germany
-458.59852756646148,11,Water bottles,Bottle4,Germany
-1051.3663378330248,8,Water bottles,Bottle4,Qatar
-1069.4562623277361,3,Water bottles,Bottle5,HongKong
-569.29511754440216,5,Water bottles,Bottle5,HongKong
-1319.536834719403,2,Water bottles,Bottle5,HongKong
431.02717202226529,9,Water bottles,Bottle5,HongKong
681.10774441393221,10,Water bottles,Bottle5,HongKong
1239.1618819017067,17,Water bottles,Bottle5,Oman
488.9201647267065,14,Water bottles,Bottle5,Oman
-11.240980056627336,12,Water bottles,Bottle5,Oman
653.41871099067464,8,Water bottles,Bottle5,Norway
1153.5798557740086,10,Water bottles,Bottle5,Norway
2654.0632901240097,16,Water bottles,Bottle5,Norway
3654.3855796906773,20,Water bottles,Bottle5,Norway
3154.2244349073435,18,Water bottles,Bottle5,Norway
522.5299013539385,12,Water bottles,Bottle5,Germany
772.61047374560587,13,Water bottles,Bottle5,Germany
-320.31848130429159,8,Water bottles,Bottle5,Qatar
-70.237908912624675,9,Water bottles,Bottle5,Qatar
-70.237908912624675,9,Water bottles,Bottle5,Qatar
-570.39905369595851,7,Water bottles,Bottle5,Qatar
15785.012735426266,10,Water bottles,Bottle6,Japan
18285.818459342936,20,Water bottles,Bottle6,Japan
17785.6573145596,18,Water bottles,Bottle6,Japan
15534.932163034598,9,Water bottles,Bottle6,Japan
13534.287583901263,1,Water bottles,Bottle6,Japan
2131.4056228052077,18,Water bottles,Bottle6,HongKong
-369.40010111146091,8,Water bottles,Bottle6,HongKong
-1869.8835354614625,2,Water bottles,Bottle6,HongKong
1188.9763259429815,19,Water bottles,Bottle6,Oman
1439.0568983346484,20,Water bottles,Bottle6,Oman
-561.58768079868662,12,Water bottles,Bottle6,Oman
2603.877734165284,18,Water bottles,Bottle6,Norway
1603.5554445986168,14,Water bottles,Bottle6,Norway
-397.08913453471848,6,Water bottles,Bottle6,Norway
1103.3942998152825,12,Water bottles,Bottle6,Norway
-2528.6225233047894,2,Water bottles,Bottle6,Germany
-1528.3002337381222,6,Water bottles,Bottle6,Germany
1722.7472073535473,19,Water bottles,Bottle6,Germany
-277.8973717797877,11,Water bottles,Bottle6,Germany
-1778.3808061297887,5,Water bottles,Bottle6,Germany
-2121.0680440046854,3,Water bottles,Bottle6,Qatar
1380.0599694786506,17,Water bottles,Bottle6,Qatar
879.89882469531733,15,Water bottles,Bottle6,Qatar
18039.146095141627,11,Jeans,Jeans1,Japan
19039.468384708296,15,Jeans,Jeans1,Japan
5364.2537657970342,5,Jeans,Jeans1,SriLanka
5114.1731934053678,4,Jeans,Jeans1,SriLanka
6114.4954829720346,8,Jeans,Jeans1,SriLanka
5364.2537657970342,5,Jeans,Jeans1,SriLanka
6364.5760553637019,9,Jeans,Jeans1,SriLanka
5864.4149105803681,7,Jeans,Jeans1,SriLanka
6114.4954829720346,8,Jeans,Jeans1,SriLanka
-308.098900216659,5,Jeans,Jeans1,Oman
192.06224456667462,7,Jeans,Jeans1,Oman
3726.7999946772429,19,Jeans,Jeans1,Germany
475.75255358557354,6,Jeans,Jeans1,Germany
3726.7999946772429,19,Jeans,Jeans1,Germany
-774.65030837276061,1,Jeans,Jeans1,Germany
4134.354473977347,20,Jeans,Jeans1,Qatar
2633.8710396273459,14,Jeans,Jeans1,Qatar
133.06531571067728,4,Jeans,Jeans1,Qatar
383.145888102344,5,Jeans,Jeans1,Qatar
1133.3876052773444,8,Jeans,Jeans1,Qatar
-617.17640146432348,1,Jeans,Jeans1,Qatar
